operation,alpha,beta,gamma,t_optimal,optimal_time,best_measured_threads,best_measured_time,best_blocks,best_threads
128F-kaypair,52.06371472619913,506000.5741614864,0.0001262420321499,63310.17534941071,68.04852510995985,32768.0,62.81,128.0,256.0
128F-sign,1386.0071392576374,13231567.747125452,0.0035987237834353,60636.118825108126,1822.4324251598923,40960.0,1615.96,160.0,256.0
128F-verify,164.7181435150667,1395012.5440361022,0.0004544144113593,55406.7923396759,215.07343336775708,32768.0,199.15,128.0,256.0
128S-keypair,3317.7392006231894,32046199.25990353,0.0071539418751207,66929.18872167876,4275.354252350944,40960.0,3690.23,160.0,256.0
128S-sign,23716.80800937966,248632501.63626423,0.0659099671247406,61419.093505690114,31813.068876962472,32768.0,27331.48,128.0,256.0
128S-verify,63.22388474399986,484914.4562742493,0.0001443077151586,57967.92976567541,79.95432373792033,32768.0,69.27,128.0,256.0
192F-keypair,79.36853739279165,822859.7846100557,0.0002399520583677,58559.94753559545,107.4716972909416,32768.0,94.35,128.0,256.0
192F-sign,2319.7039574946625,23961551.633962467,0.0085522792407495,52931.78410059908,3225.078754173442,32768.0,2933.84,128.0,256.0
192F-verify,267.62544692764493,2342878.7451739167,0.0008911513666546152,51274.23239917043,359.01165148101904,32768.0,334.05,128.0,256.0
